paper_id,title,year,authors,abstract,venue,venue_id
6e431715ee0705c4e04eec3d0afe9cff5f1c6589,Multimodal emotion recognition based on temporal-spatio bidirectional dilated causal convolution multi-head attention network,2026,"Jingjie Yan, Peiyuan Li, Guangkun Shi, Xiaoyang Zhou, Ying Liu",,Information Sciences,e46002a1-d7a6-4681-aae9-36bc3a6a1f93
53cd451dfc797e8ce061e6ec997df8552e66d58a,Sleep stage classification with multi-resolution temporal modeling and adaptive feature fusion,2026,"Jie Shi, Ziqi Hao, Haiyang Yue, Zihao Chen, Xiaoguang Liu, Xiuling Liu, Jun Li",,Biomedical Signal Processing and Control,1bac31b4-014a-4981-ae41-af2a40acc162
5699336c21012b45709a2c701b0eab0e72b24b7a,A unified deep network for thin- and dense-slice reconstruction: Improving through-plane resolution in clinical MRI,2026,"Rong Zhang, Lingtong Zhang, Jiaen Wang, Xuhe Huangfu, Kecheng Yuan, B. Qiu",,Biomedical Signal Processing and Control,1bac31b4-014a-4981-ae41-af2a40acc162
0591fffaf7a3877bf1a7a45f8b30f804db679f24,Gated transformer network for multivariate security patch identification with mixture-of-experts,2026,"Jiajun Tong, Zhixiao Wang, Xiaobin Rui",,Information and Software Technology,64ae7767-9467-4e70-9e31-e4185f9f16ff
8208e7ba0bb94030e72dd34ba40f838d2be13615,Unmanned delivery aerial vehicles fault detection method based on enhanced spatiotemporal feature fusion framework and multi-head attention mechanism classifier,2026,"Yixin Zhang, Chao Yang, Wenjie Liu, Tianqi Qie, Weida Wang, Hongcai Li",,Advanced Engineering Informatics,ec497fa8-833a-4d68-873a-539c20989c22
86e01b7966c0b62835902bbf4c0037689e818a7b,STKGformer: A spatio-temporal knowledge graph enhanced transformer for passenger flow prediction,2026,"Zhe Ji, Zuoan Hu, Shixi Chang, Wenhao Zhang",,Information Sciences,e46002a1-d7a6-4681-aae9-36bc3a6a1f93
c00905d5f2bbbc6141b4d26bd6c7bc11c170b5e1,A comparative review and benchmark for deep learning based digital image correlation method,2026,"Lianpo Wang, Han Wu",,Optics and lasers in engineering,c6394061-6f8e-452e-8da8-37f0267cb282
998557fb318abd5e5dafa0080e5b23b562e3c2a7,Enhancing heterogeneous information networks through student interactions for knowledge tracing,2026,"Jie Gao, Luchuan Ma, Liqing Qiu",,Information Sciences,e46002a1-d7a6-4681-aae9-36bc3a6a1f93
d4d53ceb942e08cb85fe322d564af12b57cbea12,Engineformer: A digital twin model for predicting aero-engine performance and degradation,2026,"Dasheng Xiao, Aiyang Yu, Shuo Song, Hong Xiao, Zhanxue Wang",,Advanced Engineering Informatics,ec497fa8-833a-4d68-873a-539c20989c22
8ef6cbeb4f374defc6870b1516d4aec6a336b9c5,VAD-GHNet: A Variational Attention Decomposition GH-LSTM Network for signal reconstruction toward TBM performance advance prediction,2026,"Shilong Pang, Linchong Huang, Yixian Wang, Hang Lin, Yu Chen",,Advanced Engineering Informatics,ec497fa8-833a-4d68-873a-539c20989c22
8ed7580c0c6e3117b3aa400c13c5cad92a38b00d,MCPT-CAF-BiGRU: A multi-scale CNN and ProbSparse-Masked Transformer model with cross-attention fusion and BiGRU for hourly wind speed forecasting,2026,"Jinsheng Fan, Guo-An Yu, Mingmeng Zhao, Hucheng Zong",,Expert systems with applications,987139ae-a65d-49bb-aaf6-fb764dc40b19
5e411461f6d64ae012364c4fa5ae5723c34ebe07,CSVD-AES: Cross-project software vulnerability detection based on active learning with metric fusion,2026,"Zhidan Yuan, Xiang Chen, Juan Zhang, Weiming Zeng",,Information and Software Technology,64ae7767-9467-4e70-9e31-e4185f9f16ff
ef9ed6474184660b033c52455ce4d1f55653559c,Discriminatory order assignment and payment-setting of on-demand food-delivery platforms: A multi-action and multi-agent reinforcement learning framework,2026,"Zijian Zhao, Sen Li",,Transportation Research Part E: Logistics and Transportation Review,
9323391553ec945ca68691db7e5d7bb5f3e8ffa1,Deep reinforcement learning for the vehicle routing problem with route balancing,2026,"Jianhua Xiao, Detian Kong, Zhiguang Cao, Jingyi Zhao",,Transportation Research Part E: Logistics and Transportation Review,
f69292cdec03bc29030bca16e270879c9a5575ed,KVC-Q: A high-fidelity and dynamic KV Cache quantization framework for long-context large language models,2026,"Yusen Wu, Ruiqin Lin, Jiarong Que, Qixiang Zeng, Hongsen Zhang",,Journal of systems architecture,d6974de6-2e30-4295-bdb9-af21f7988e22
126952c145dbeb96118b8a4cd3db8495d63a6c24,Orchestrating optimization passes of machine learning compiler for reducing memory footprints of computation graphs,2026,"Qianwei Yu, Pengbo Nie, Zihan Wang, Chengcheng Wan, Ziyi Lin, He Jiang, Jianjun Zhao, Lei Qiao, Le Chen, Yuting Chen",,Journal of systems architecture,d6974de6-2e30-4295-bdb9-af21f7988e22
9ae0ea9c9cbbda967cc7a3d864638de0d71ec7d3,Reducing contextual noise in review-based recommendation via aspect term extraction and attention modeling,2026,"Heena Lim, Xinzhe Li, Seonu Park, Qinglong Li, Jaekyeong Kim",,Information Sciences,e46002a1-d7a6-4681-aae9-36bc3a6a1f93
8d949ec59560c59c588265777562f7b1b0296373,Edge-to-cloud computing and intelligence for IoT-based Structural Health Monitoring: A comprehensive review,2026,"Shuaiwen Cui, Yugang Fu, Hao Fu, Wei Shen",,Advanced Engineering Informatics,ec497fa8-833a-4d68-873a-539c20989c22
1683dbc72f976128655bfcfb5aacfac6f46666c4,A self-supervised exploratory guided push and grasp approach to enhance robotic manipulation in clutter,2026,"Chiat-Pin Tay, Shijun Yan, Chong Chen, Wei Qi Toh, Miaolong Yuan, Dongkyu Choi",,Robotics and Autonomous Systems,1ee2b231-a72e-4ac7-bef7-72361085f323
50d5e6842b53d61fa2d652287c023d1e88132526,TSDR-SFE: A prediction model for dam crack width based on two-stage decomposition–reconstruction and spatiotemporal feature extraction,2026,"Yixiang Fang, Chongshi Gu, Yangtao Li, Yiming Wang, Taiqi Lu, Lei Shen, Xiao Sun, Mingyuan Zhu, Fuqiang Zhou, Sitao Fu, Hao Gu",,Advanced Engineering Informatics,ec497fa8-833a-4d68-873a-539c20989c22
c570f65db84dc553a72576be0b9bd0930e498892,An inspection path planning approach based on hierarchical reinforcement learning,2026,"Kuanhong Yan, Daxin Liu, Zhenyu Liu, Jianrong Tan",,Journal of manufacturing systems,dc56537e-0e06-44dd-8fe9-50131609f0c2
9c18209390191f34c522525b79c79eabf387bcb4,A frequency-domain decomposition and TCN-GTAF fusion framework for GNSS sequence forecasting,2026,"Congxin Wei, Zidong Quan, Yaxin Su, Haikuo Pang, Lei Wang, S. Shuhidan, Safwan Mahmood Al-Selwi, Mohd Fadzil Hassan",,Information Sciences,e46002a1-d7a6-4681-aae9-36bc3a6a1f93
9f23afcbf53184e56921fb30832e6d0aec038e9d,Hybrid attention-guided RRT*: Learning spatial sampling priors for accelerated path planning,2026,"Asmaa Loulou, Mustafa Unel",,Robotics and Autonomous Systems,1ee2b231-a72e-4ac7-bef7-72361085f323
bb5700bcfbf448f5860b940554e92f4f850eeb6f,VulATMHD: Joint adaptive triplet mining and hybrid distillation for type-aware vulnerability classification,2026,"Xuanye Wang, Lu Lu",,Information and Software Technology,64ae7767-9467-4e70-9e31-e4185f9f16ff
01ab1c3d8450d378a9543836bdf6de5ee58fb1db,"Rainfall intensity estimation at night using deep learning and urban surveillance cameras in Jiangsu Province, China",2026,"Xing Wang, Haiqin Chen, Ang Zhou, Ye Chen",,Journal of Hydrology: Regional Studies,
1e7abaf31762fccb4ea8d5d9ec0b68df3a800315,DiffusionEngine: Diffusion model is scalable data engine for object detection,2026,"Manlin Zhang, Jie Wu, Yuxi Ren, Jiahong Yang, Ming Li, Andy J. Ma",,Pattern Recognition,266f640f-003e-453b-ab76-57e4053252f8
b83c83ac1729596c51329d6411e4aa5bf5bd4cac,What drives attention sinks? A study of massive activations and rotational positional encoding in large vision-language models,2026,"Xiaofeng Zhang, Yuanchao Zhu, Chaochen Gu, Jiawei Cao, Hao Cheng, Kaijie Wu",,Information Processing & Management,37f5b9b7-f828-4ae1-a174-45b538cbd4e4
2739cb10123641f84cbdb7afbc170c408f12953f,Advancing cross-domain emergency classification with multi-view adversarial learning,2026,"Yuhan Xie, Chen Lyu, Zheng Qu, Chunmei Liu",,Information Processing & Management,37f5b9b7-f828-4ae1-a174-45b538cbd4e4
a47cfc05ed7d2328056bb5c74cd85f1633206f4d,Learning generalizable representations with adversarial domain adaptation for snoring-based sleep apnea detection,2026,"Heng Li, Yun Lu, Yukun Qian, Lianyu Zhou, Mingjiang Wang, Hanrong Cheng",,Biomedical Signal Processing and Control,1bac31b4-014a-4981-ae41-af2a40acc162
8c2c54d545da3422e89af275cb8ceb6fa1f029ae,Bridging the safety-specific language model gap: Domain-adaptive pretraining of transformer-based models across several industrial sectors for occupational safety applications,2026,"Abid Ali Khan Danish, Snehamoy Chatterjee",,Expert systems with applications,987139ae-a65d-49bb-aaf6-fb764dc40b19
2e7764de286a9ddf22db10864b6f5098acb6b792,End-to-end predictions of trabecular bone structural and mechanical properties from resolution adaptive CT imaging,2026,"Peixuan Ge, P. Wong, Shibo Li, Shuwei Zhang, Lihai Zhang, Qiong Wang, Baoliang Zhao, Ying Hu",,Expert systems with applications,987139ae-a65d-49bb-aaf6-fb764dc40b19
e18258f37c98c447527598fa063b93df8b81c00d,Bidirectional GPT,2026,"Chuanliu Fan, Zicheng Ma, Wenjie Du, Nan Yu, Jun Zhang, Y. Gao, Ziqiang Cao, Guohong Fu",,Information Processing & Management,37f5b9b7-f828-4ae1-a174-45b538cbd4e4
73448c3802f1ad962fc9c8808f7416ada6afa812,From local to global: A hierarchical spatial-frequency Bi-patch Mamba network for EEG-based emotion recognition,2026,"Xinyu Li, Jiajin Huang, Jianhui Chen, Haiyan Zhou",,Biomedical Signal Processing and Control,1bac31b4-014a-4981-ae41-af2a40acc162
2cd099f7a0f6e7a0f5bb83e2300f363bd8881934,A transfer condition-focused model for battery capacity forecast,2026,"Zhuoyi Qian, Zhen Chen, E. Pan",,Reliability Engineering & System Safety,432120e1-fd7c-4da0-8c59-eb4c1723bcbd
7ca3ad189698c766be882744d8477b6841a9e5f3,A continuously coupled attention neural network for MSI status classification in whole slide images,2026,"Zhongqiang Pan, Xiangyu Li, Liangliang Liu",,Biomedical Signal Processing and Control,1bac31b4-014a-4981-ae41-af2a40acc162
01402f3a3ab666e1c96cbea7459893a8b6ca48e2,PVMNet: A navel orange defect detection algorithm based on Mamba structure,2026,"You-Wen Huang, Wei Wang",,Expert systems with applications,987139ae-a65d-49bb-aaf6-fb764dc40b19
e86e003236e3fd8ccab4108df9d14af3e05a66bd,Multimodal large models for smart agriculture: Frameworks and applications,2026,"Jun Liu, Xuewei Wang",,Expert systems with applications,987139ae-a65d-49bb-aaf6-fb764dc40b19
ce3972810eac1705d6ca673e53d7a216874f3159,TAC-DASR: Temporal-aggregated Conformer with data augmentation for dysarthric automatic speech recognition,2026,"Yuexia Song, Hao Yuan, Xuanfeng Duan, Qingchuan Tao, Yanmei Yu",,Expert systems with applications,987139ae-a65d-49bb-aaf6-fb764dc40b19
4376346c4c5bb04aac8bde20526107f8b0b7e6a6,Enhancing person-job fit through multi-temporal career trajectory modeling,2026,"Junmei Feng, Jiarui Yang, Shuchun Li, Qiguang Miao, Yue Xi, Zhaoqiang Xia",,Expert systems with applications,987139ae-a65d-49bb-aaf6-fb764dc40b19
581ccc0baa9cfbf30fe2f926d18bfd0c11803d58,Federated cross-domain CTR prediction with triple-view contrastive learning and LLM augmentation,2026,"Jiangcheng Qin, Xueyuan Zhang, Baisong Liu, Jiangbo Qian, Yangyang Wang",,Information Processing & Management,37f5b9b7-f828-4ae1-a174-45b538cbd4e4
1e2bbcfc334c5ade7a42c0894b103e0b63207fb3,Enhancing large language model for fake news video detection via cross-modal retrieval,2026,"Linfeng Han, Xiaoming Zhang, Tianbo Wang, Yun Liu, Zhiqiang Dong",,Information Processing & Management,37f5b9b7-f828-4ae1-a174-45b538cbd4e4
c102d198c0b39602bbd55c085527509195273b57,CFWA-Net: Cross-scale fusion and wavelet aggregation network for polyp segmentation,2026,"Zeye Xu, Jian Ji, Falin Wang, Kaili Lu, Teng Sun, Junkun Li",,Biomedical Signal Processing and Control,1bac31b4-014a-4981-ae41-af2a40acc162
a2b682f435f9ff163bc494f8c1c22151e36f0ff6,WPMMA-NIS: wavelet pooling and major-minor axis distance monomerization for nuclei instance segmentation in breast whole slide image,2026,"Xiuxiao Yuan, Xunping Wang, Jingping Yuan, Hongjun Sha",,Biomedical Signal Processing and Control,1bac31b4-014a-4981-ae41-af2a40acc162
b4990816047121c6b31c98342dbb100811c60ec1,An ultra-compact efficient silicon power beam splitter based on large language model by inverse design,2026,"Jiahao Li, Chenxu Wang, Qi Zhou, Junyang Tang, Ming Luo, Lin Wu, Jin Tao, Tianye Huang, Hanbing Li, Xiang Li, Ying Qiu",,Optics Communications,ea02590d-89a5-4608-950c-d9cfff018d19
ae25f11408a3b34e72b041990d9561c8b9ea5c49,Emerging perspectives on embodied intelligence in future smart manufacturing,2026,"Dan Xia, Pengpeng Xu, Guangjie Han, Jinfang Jiang",,Journal of Industrial Information Integration,c192003b-48dd-45d7-b737-5ff93540aca3
6ac744ce2023d7e10fac6742c83601bde1b53dad,Error source identification in metrology digital twin systems using machine learning,2026,"Gengxiang Chen, Charyar-Mehdi Souzani, Nabil Anwer",,Advanced Engineering Informatics,ec497fa8-833a-4d68-873a-539c20989c22
5dbd6a057ebc98cf0493b6e06867b36bb5378699,Uncertainty-Aware Bayesian Time Series framework for probabilistic imputation,2026,"Zi-Xuan Zeng, Yanke Tan, E. Deng, Yiqing Ni, Qi-Lin Zhang, Bin Yang",,Advanced Engineering Informatics,ec497fa8-833a-4d68-873a-539c20989c22
f3efb404c42ca9fdda7380bb915dcd7e4aa07029,Fine-grained segmentation of high-resolution crack images based on transformer and rendering techniques,2026,"Honghu Chu, Weiwei Chen, Lu Deng",,Results in Engineering,9bb0fb7c-8704-4e65-a386-12c41a683412
5cf01b013dc0aaaad5dfb848a8b5d229f2f060b6,RAG-HIDS: A multi-relational graph-based hierarchical intrusion detection system for in-vehicle networks,2026,"Hai Lin, Xi Yu, Zhihong Chen, Yue Cao",,Ad hoc networks,3597523f-277c-4b10-9ac7-b68f01aef995
363f1f22b0ac81920ada1be9228e3f225bf290cd,PTC-diffusion: A partitioned modeling with diffusion-based uncertainty evaluation for blasting silt displacement method reconstruction,2026,"Wei Qin, Yuqi Pan, Xin Ye, Da Yang, Yanke Tan, Haoran Ouyang, Hui Zhong",,Advanced Engineering Informatics,ec497fa8-833a-4d68-873a-539c20989c22
e3993112854f59b3966b165d8775559b213c0874,Clinically informed imputation of medical data using parallel diffusion models,2026,"Shuaixun Wang, Xueer Zhang, Sharon Jewell, Martyn Boutelle",,Expert systems with applications,987139ae-a65d-49bb-aaf6-fb764dc40b19
06edfafebfeec505d7ed8875ac6049202137474b,A multimodal trajectory prediction framework with multi-scale spatio-temporal interaction and multi-stage adaptive decoding for autonomous vehicles,2026,"Jing Huang, Zhipeng He, Ting Liu, Lin Hu",,Advanced Engineering Informatics,ec497fa8-833a-4d68-873a-539c20989c22
64f14cf3880f036c0e396b491b0538a2792ccec7,Factors influencing language teachers’ judgements and decision-making about the use of generative AI tools: A systematic review,2026,Sima Eedelouei,,Teaching and Teacher Education : An International Journal of Research and Studies,1a784aa3-4e5b-484b-a743-85ae1f00a2c4
a5813577fc5e3a311d841c6c468185fca8c83b51,Efficient crowd anomaly detection using C3D-LSTM networks with enhanced attention mechanisms,2026,"Sarah Altowairqi, Suhuai Luo, Peter Greer, Shan Chen",,Array,a7e4161c-9216-40df-a896-ed51a04aab3a
c7631771d1d5efd0420b28884fd93b4f5bfd5137,Enhancing skin cancer diagnosis using late discrete wavelet transform and new swarm-based optimizers,2026,"Ramin Mousa, Saeed Chamani, Mohammad Morsali, Mohammad Kazzazi, Parsa Hatami, Soroush Sarabi",,Machine Learning with Applications,24440165-229a-4b91-a09d-2d61ce71d94e
e9cf0f895306192affa63c08327a6ad64346f2ac,Clinical evaluation of GenAI adaptive cancer therapy,2026,Y. Derbal,,EngMedicine,
4ff7d903baa2a45c34458eb8b8f53faa0f5dcc1e,Hold me tight: Towards the detection of the flow experience using a commercial video game controller,2026,"Lazaros Michailidis, Jesus Lucas Barcias",,Computers in Human Behavior Reports,503d9ce4-9d19-4f0a-9a58-2ae60822350d
1b3c6bc5e1b3930bfc00f1258f55017c0424611d,Real-time plastic waste segmentation for sustainable resource recovery in construction,2026,"Iman Ranjbar, Yiannis Ventikos, M. Arashpour",,"Resources, Conservation and Recycling",3cb501bc-0ca7-47c4-8fa2-e2dd90f55b67
a055d0b5097f507dfa780bb0640f80a6831a7a12,Deep learning detection and analysis of eddies in the East Greenland marginal ice zone from Sentinel-1 SAR imagery,2026,"Fei Jiang, Xiaofeng Li, Yingjie Liu, Yibin Ren",,Remote Sensing of Environment,2544009c-f3cc-45f2-b79b-aff3d09cfc34
40216d6881af24d51e5e6f96dcaec5d5e4854f5b,SSEDF: A shared-private semantic enhanced dynamic fusion network for multimodal sentiment analysis,2026,"Wanjie Zhang, Yajun Du, Hongyang Wang, Jia Liu, Xianyong Li",,Expert systems with applications,987139ae-a65d-49bb-aaf6-fb764dc40b19
1a79598e63069d3f218f44bccf22507feabe6a21,"Temporal attention multi-resolution fusion of satellite image time-series, applied to Landsat-8/9 and Sentinel-2: all bands, any time, at best spatial resolution",2026,"Julien Michel, Jordi Inglada",,Remote Sensing of Environment,2544009c-f3cc-45f2-b79b-aff3d09cfc34
38cb74dde545e82ac9ec11e31f6d7c38b19954da,Synergistic importance of memory and spatial neighbourhood effects in modelling net ecosystem productivity,2026,"Jian Liu, Tao Zhou, Jingyu Zeng, Jingzhou Zhang, Xuemei Wu, Yajie Zhang, Qi Zhang, Yancheng Qu, Peixia Liu, Wenjuan Zhang, E. Tan, Yin Yu, Li Cao",,Agricultural and Forest Meteorology,cf468b9d-634c-4326-84d5-61ca2183a367
be294b87116277648ef989b61b44924d603659ad,Contrasting deep learning audio models for direct respiratory insufficiency detection versus blood oxygen saturation estimation,2026,"Marcelo Matheus Gauy, Natália Hitomi Koza, Ricardo Mikio Morita, Gabriel Rocha Stanzione, Arnaldo Cândido Júnior, Larissa C. Berti, A. S. Levin, Ester Cerdeira Sabino, Flaviane Romani Fernandes Svartman, Marcelo Finger",,Intelligent Medicine,01ca0ac9-f373-4ccb-9526-2b2c053b2497
6730b32660762c9a7f4fa30cc62db8514c6ffb07,SWDAKT: Knowledge tracing using sliding window-based dynamic ability perception,2026,"Jinwei Wang, Jiajie Lu, Zilong Su",,Expert systems with applications,987139ae-a65d-49bb-aaf6-fb764dc40b19
debc6b4266c26a00091de897bfd9b84e9e57c70c,Leveraging distillation token and weaker teacher model to improve DeiT transfer learning capability,2026,"Christopher Gavra Reswara, Gede Putra Kusuma","Recently, distilling knowledge from convolutional neural networks (CNN) has positively impacted the data-efficient image transformer (DeiT) model. Due to the distillation token, this method is capable of boosting DeiT performance and helping DeiT to learn faster. Unfortunately, a distillation procedure with that token has not yet been implemented in the DeiT for transfer learning to the downstream dataset. This study proposes implementing a distillation procedure based on a distillation token for transfer learning. It boosts DeiT performance on downstream datasets. For example, our proposed method improves the DeiT B 16 model performance by 1.75% on the OxfordIIIT-Pets dataset. Furthermore, we present using a weaker model as a teacher of the DeiT. It could reduce the transfer learning process of the teacher model without reducing the DeiT performance too much. For example, DeiT B 16 model performance decreased by only 0.42% on Oxford 102 Flowers with EfficientNet V2S compared to RegNet Y 16GF. In contrast, in several cases, the DeiT B 16 model performance could improve with a weaker teacher model. For example, DeiT B 16 model performance improved by 1.06% on the OxfordIIIT-Pets dataset with EfficientNet V2S compared to RegNet Y 16GF as a teacher model.",International Journal of Informatics and Communication Technology (IJ-ICT),a08ff97f-fa46-47a0-a1fe-0a36f34e187c
cad89d5f71a88f48a2d1ad7b2a54b6cd5a221108,Dynamic Kolmogorov-Arnold networks for time-varying degradation modeling in solid oxide fuel cells,2026,"Mohamadali Tofigh, Daniel J. Smith, A. Hanifi, C. R. Koch, Mahdi Shahbakhti",,Advanced Engineering Informatics,ec497fa8-833a-4d68-873a-539c20989c22
62fd74fb20486163a7d15c733adb868fa89b7764,Gene-guided multimodal data fusion for cancer patient survival analysis,2026,"Mingjie Xu, Li Cai, Zongbao Yang, Ruxin Wang, Hao Zhang",,Neurocomputing,df12d289-f447-47d3-8846-75e39de3ab57
e358d97ccd530f35e61e6f565fd5f0f55b2f55af,Overcoming radar sparsity and cross-view misalignment: A sparse-to-sparse fusion paradigm for robust 3D object detection,2026,"Rui Wan, Weigang Meng, Tianyun Zhao, Wei Lu",,Digital Signal Processing,
04ccacdbd1d08ff80bafa142d21efe4b84a9ab09,DefMoN: A reproducible framework for theory-grounded synthetic data generation in affective AI,2026,Ryan SangBaek Kim,,Machine Learning with Applications,24440165-229a-4b91-a09d-2d61ce71d94e
438590a7a08c3e43cfa824790ac1d44be2f85018,Fine-grained space object classification with Convolution-Boosted LSTM using light curves: A new method and a large scale dataset,2026,"Weixiao Li, Yu Zhang, Guo Chen, Jihao Yin",,Acta Astronautica,280fcb4f-798f-40fa-a2c9-9e84b322ed87
1c37b835c94031abeda356cf6caa8a4f7995b173,A lightweight semantic decoding network with group to individual transfer learning for EEG-based visual recognition,2026,"Xiaotian Wang, Doudou Zhang, Qimin Xu, Xinyu Cui, Rongkai Zhang, Yiming Jiang, Fu Li, Yang Li, Guangming Shi",,Neurocomputing,df12d289-f447-47d3-8846-75e39de3ab57
24a5c71a5f5c422ce1ac666f4b3f105cc25bd187,Data-augmented predictive deep neural network: Enhancing the extrapolation capabilities of non-intrusive surrogate models,2026,"Shuwen Sun, Lihong Feng, Peter Benner",,Computer Methods in Applied Mechanics and Engineering,3bfaa538-a67d-47d7-bfda-6f82748e9a29
e267538c6113d0f97a809dcc3ef05033a9d62b32,Zero-shot compound fault diagnosis with semantic graph embedding and multi-stage fusion,2026,"Fengli Shen, Xin Lu, Hao Wen, Lei Zhou, Rongjiang Tang",,Neurocomputing,df12d289-f447-47d3-8846-75e39de3ab57
efdb6a72f31ac6227c6255bd40319499610af0f1,APR-BiCA: LiDAR-based absolute pose regression with bidirectional cross attention and gating unit,2026,"Jianlong Dai, Hui Wang, Yuqian Zhao, Zhihua Liu",,Neurocomputing,df12d289-f447-47d3-8846-75e39de3ab57
a900ff49283568128e7c2f7cabcb6d86b00305f7,Deep learning-based high dynamic range 3D measurement: The combination of GAN and U-Net,2026,"Jianhua Wang, Shenhua Zhang, Yanxi Yang",,Sensors and Actuators A: Physical,
61d0769852bc2f850add7637afc4c5ec46cd7771,LayupFormer: A deep generative model for composite laminate layup design,2026,"Wenjie Xie, Hasan Caglar, Kailun Deng, David Ayre, Yifan Zhao",,Composites Science And Technology,14c5a241-b8fa-4a38-a4ef-675eb0fb323a
23a97243eccdc4c6548cbb6823e0dc7aec8044a7,Behaviour recognition of tail and ear biting in pigs using AI-based computer vision,2026,"Qinghua Guo, C. Orsini, P. Langenhuizen, Yue Sun, Shoujun Huo, L. E. van der Zande, I. Reimert, J. Bolhuis, P. Bijma, Peter H. N. de With",,Smart Agricultural Technology,049b17f4-e576-40b2-abcb-cc4f5d74068a
82fab2c6b148cea5880a2a31ae7d9244ac244be3,Transformer autoencoder framework for estimating core temperature of lithium-ion battery from pulse discharge dynamics,2026,"Mustehsan Beg, Keith M. Alcock, Vishnu Sam, Sanjay Rakshit, Sambit Paul, Hongnian Yu, Keng Goh",,Applied Thermal Engineering,25414617-4809-40ff-9ed2-ee2af2296d4e
1319f12a4efb9f9532348460176ba307e44d1d1d,Ret-UNet: Enhancing medical image segmentation with self-retention,2026,"Tianjun Guo, Weixin Zhao, Jian Peng",,Array,a7e4161c-9216-40df-a896-ed51a04aab3a
299a018728e9ff1c942c86b753571a593cb3120f,Contrastive learning with multi-scale temporal modeling for robust music performance analysis,2026,"Sibo Zhang, Yang Liu",,Digital Signal Processing,
82ab468314c7e00c6a8deaad709d258fb37b8770,Physical-level privacy-preserving face recognition via optically encoded single-pixel measurements,2026,"Jia-Shuai Mi, Wen-Biao Xu, Yu-Xiao Wei, Yu-Cheng Wang, Hui-Juan Zhang, Yuanjin Yu",,Optics &amp; Laser Technology,
7b5fb91e16f4d1d3fc894b4efe3a41921a7a3217,Single object tracking based on Spatio-Temporal information,2026,"Lixin Wei, Yun Luo, Rongzhe Zhu, Xin Li",,Signal Processing: Image Communication,
4bf442ab26ff744b513284ab17434aae2eecab6d,Enhanced all-sky Aurora image classification using pyramid vision transformer and contrastive background contextual transforms,2026,"Jian Lian, Weiguang Wang",,Applied Soft Computing,b1994124-f1e8-4f96-a165-b6f19a04fe7e
9ec790ba7c7083a07a3a7c3ef3ec19ef0675f690,Individual parameterized transformer-based deep Q-network for efficient industrial 2d exact guillotine cutting scheduling,2026,"Jie-Ying Su, Yi-Feng Hung, Jia-Lin Kang, Shi-Shang Jang",,Applied Soft Computing,b1994124-f1e8-4f96-a165-b6f19a04fe7e
85fa114b899065c706e3f0925bc4b8f3ae28790a,Efficient dual-branch high-resolution transformer design for crack segmentation,2026,"Yongshang Li, Zihan Ma, Ronggui Ma",,Applied Soft Computing,b1994124-f1e8-4f96-a165-b6f19a04fe7e
b727df13c5cc2ebfa74c58782755970389778b79,WCK-SSAM: Working condition knowledge guided sparse self-attention mechanism for operational status perception of multi-modal fused magnesium furnace,2026,"Hao Yan, Yikang Li, Guangyu Zhu, Fuli Wang",,Neurocomputing,df12d289-f447-47d3-8846-75e39de3ab57
fcc6d195200e640efa45f0317d703813497ac230,Adapting to the environment: An energy‑efficient dual‑synapse spiking model for mobile micro-learning environmental forecasting,2026,"Delei Zhao, Jian Wang, Guo-sheng Zhao",,Neurocomputing,df12d289-f447-47d3-8846-75e39de3ab57
59caf050557eb4a9059bbff3320565ceb09b23d3,MSTVQA: A multi-path dynamic perception method for video quality assessment,2026,"Junwei Qi, Yingzhen Wang, Jingpeng Gao, Yichen Wu, Pujiang Liu",,Image and Vision Computing,6cc36eeb-d056-42c4-a306-7bcb239cc442
29cf1471513437b9c287dbacf268eb76ec96ce04,Optimizing task allocation in Mobile Crowdsensing with multiple opportunistic users and participatory UAVs,2026,"Shi Yu, Bing Shi, Xiao Su, Saisai Li, Shuai Li, Xing Tang",,Ad hoc networks,3597523f-277c-4b10-9ac7-b68f01aef995
896eff7f3263d0a949fe38727eed8c1beb47bedb,A multi-branch learning for vessel fuel consumption prediction using multi-scale feature fusion,2026,"Yi Zuo, Xinyu Li, Licheng Zhao, Zhuo Sun",,Transportation Research Part D: Transport and Environment,0a365e41-001f-4f51-945b-92f184da8d96
35099c830ae6e08ecf5222a89bf5aa1965335c8e,Physics-informed neural networks enhanced by cross-attention-based feature fusion and fuzzy logic for solving nonlinear PDEs,2026,"Xia-Ting Jing, Yu-Long Bai, Bo-Ya Hou, Chun-lin Huang",,Neurocomputing,df12d289-f447-47d3-8846-75e39de3ab57
80aa38953e7ae83d0398ebc375aa6bbed19b886c,Dual-stage network combining transformer and hybrid convolutions for stereo image super-resolution,2026,"Jintao Zeng, Aiwen Jiang, Feiqiang Liu",,Image and Vision Computing,6cc36eeb-d056-42c4-a306-7bcb239cc442
8c9307da420c3dbc0596a165fdb6b96f178d33c2,Dynamic spectral weighting in CausalSelfAttention: Enhancing transformer performance through frequency-based head modulation,2026,"Zhigao Huang, Musheng Chen, Shiyang Zheng",,Neurocomputing,df12d289-f447-47d3-8846-75e39de3ab57
3f0e493ddb7a4ae80c4a14eaeee0133a5a9a1e08,Ship trajectory prediction model based on CovTE-BiLSTM with spatiotemporal feature coupling,2026,"Fangbing Xiao, Tianxiang Xu, Xiufeng Zhang, Weifeng Li",,Ocean Engineering,771dfc3e-58bf-4d14-9583-372ad5db9c88
